"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Gabapentin|Plasma (Peripheral Venous Blood) [µmol/l]"
0,15720,16.82607
0,15735,16.81146
0,15750,16.79688
0,15765,16.7823
0,15780,16.76774
0,15795,16.75319
0,15810,16.73865
0,15825,16.72412
0,15840,16.70961
0,15855,16.69511
0,15870,16.68062
0,15885,16.66615
0,15900,16.65168
1,0,0
1,3,0.0009508939
1,6,0.01992944
1,9,0.0886051
1,12,0.2289381
1,15,0.4505357
1,18,0.7534921
1,21,1.13152
1,24,1.574594
1,27,2.070915
1,30,2.608285
1,33,3.174984
1,36,3.76027
1,39,4.35463
1,42,4.949872
1,45,5.539083
1,48,6.116549
1,51,6.677644
1,54,7.218693
1,57,7.736851
1,60,8.229994
1,63,8.696619
1,66,9.135759
1,69,9.546892
1,72,9.929885
1,75,10.28492
1,78,10.61248
1,81,10.91323
1,84,11.18807
1,87,11.43801
1,90,11.6642
1,93,11.86788
1,96,12.05034
1,99,12.21292
1,102,12.357
1,105,12.48391
1,108,12.59502
1,111,12.69163
1,114,12.77502
1,117,12.84642
1,120,12.90699
1,135,13.08349
1,150,13.12395
1,165,13.09696
1,180,13.03949
1,195,12.9694
1,210,12.89458
1,225,12.81826
1,240,12.74168
1,255,12.66525
1,270,12.58909
1,285,12.51324
1,300,12.43769
1,315,12.36246
1,330,12.28757
1,345,12.21306
1,360,12.13895
1,375,12.06529
1,390,11.9921
1,405,11.91942
1,420,11.84726
1,435,11.77567
1,450,11.70464
1,465,11.63419
1,480,11.56434
1,495,11.4951
1,510,11.42645
1,525,11.35842
1,540,11.291
1,555,11.22418
1,570,11.15797
1,585,11.09235
1,600,11.02734
1,615,10.9629
1,630,10.89906
1,645,10.83578
1,660,10.77308
1,675,10.71093
1,690,10.64934
1,705,10.58829
1,720,10.52777
1,735,10.46778
1,750,10.40831
1,765,10.34934
1,780,10.29088
1,795,10.2329
1,810,10.17541
1,825,10.11839
1,840,10.06184
1,855,10.00575
1,870,9.950101
1,885,9.894895
1,900,9.84012
1,915,9.78577
1,930,9.731836
1,945,9.67831
1,960,9.625186
1,975,9.572454
1,990,9.520108
1,1005,9.468142
1,1020,9.416545
1,1035,9.365314
1,1050,9.314439
1,1065,9.263915
1,1080,9.213736
1,1095,9.163894
1,1110,9.114383
1,1125,9.065197
1,1140,9.01633
1,1155,8.967775
1,1170,8.919529
1,1185,8.871583
1,1200,8.823934
1,1215,8.776574
1,1230,8.7295
1,1245,8.682706
1,1260,8.636187
1,1275,8.589937
1,1290,8.543954
1,1305,8.49823
1,1320,8.452764
1,1335,8.407548
1,1350,8.362579
1,1365,8.317855
1,1380,8.273369
1,1395,8.229118
1,1410,8.185099
1,1425,8.141308
1,1440,8.09774
1,1455,8.054393
1,1470,8.011262
1,1485,7.968346
1,1500,7.92564
1,1515,7.883142
1,1530,7.840848
1,1545,7.798756
1,1560,7.756862
1,1575,7.715164
1,1590,7.67366
1,1605,7.632346
1,1620,7.591221
1,1635,7.550282
1,1650,7.509526
1,1665,7.468952
1,1680,7.428557
1,1695,7.38834
1,1710,7.348298
1,1725,7.308429
1,1740,7.268732
1,1755,7.229205
1,1770,7.189846
1,1785,7.150652
1,1800,7.111624
1,1815,7.07276
1,1830,7.034057
1,1845,6.995514
1,1860,6.957131
1,1875,6.918906
1,1890,6.880837
1,1905,6.842925
1,1920,6.805166
1,1935,6.76756
1,1950,6.730107
1,1965,6.692806
1,1980,6.655654
1,1995,6.618652
1,2010,6.581799
1,2025,6.545093
1,2040,6.508534
1,2055,6.472122
1,2070,6.435856
1,2085,6.399734
1,2100,6.363757
1,2115,6.327923
1,2130,6.292232
1,2145,6.256684
1,2160,6.221278
1,2175,6.186014
1,2190,6.15089
1,2205,6.115908
1,2220,6.081066
1,2235,6.046363
1,2250,6.0118
1,2265,5.977376
1,2280,5.943092
1,2295,5.908946
1,2310,5.874938
1,2325,5.841068
1,2340,5.807335
1,2355,5.773741
1,2370,5.740283
1,2385,5.706963
1,2400,5.67378
1,2415,5.640733
1,2430,5.607823
1,2445,5.575049
1,2460,5.542411
1,2475,5.50991
1,2490,5.477544
1,2505,5.445314
1,2520,5.41322
1,2535,5.381262
1,2550,5.349439
1,2565,5.317751
1,2580,5.286199
1,2595,5.254781
1,2610,5.223499
1,2625,5.192352
1,2640,5.16134
1,2655,5.130462
1,2670,5.09972
1,2685,5.069112
1,2700,5.038638
1,2715,5.008299
1,2730,4.978095
1,2745,4.948025
1,2760,4.91809
1,2775,4.888288
1,2790,4.858621
1,2805,4.829088
1,2820,4.799689
1,2835,4.770424
1,2850,4.741293
1,2865,4.712296
1,2880,4.683433
1,2895,4.654703
1,2910,4.626106
1,2925,4.597644
1,2940,4.569314
1,2955,4.541118
1,2970,4.513055
1,2985,4.485125
1,3000,4.457328
1,3015,4.429664
1,3030,4.402133
1,3045,4.374734
1,3060,4.347468
1,3075,4.320334
1,3090,4.293333
1,3105,4.266463
1,3120,4.239726
1,3135,4.21312
1,3150,4.186646
1,3165,4.160304
1,3180,4.134093
1,3195,4.108013
1,3210,4.082064
1,3225,4.056246
1,3240,4.030558
1,3255,4.005001
1,3270,3.979574
1,3285,3.954278
1,3300,3.929111
1,3315,3.904074
1,3330,3.879166
1,3345,3.854387
1,3360,3.829738
1,3375,3.805217
1,3390,3.780825
1,3405,3.756561
1,3420,3.732425
1,3435,3.708417
1,3450,3.684536
1,3465,3.660783
1,3480,3.637157
1,3495,3.613657
1,3510,3.590284
1,3525,3.567037
1,3540,3.543916
1,3555,3.520921
1,3570,3.498051
1,3585,3.475306
1,3600,3.452685
1,3615,3.430189
1,3630,3.407817
1,3645,3.385569
1,3660,3.363444
1,3675,3.341443
1,3690,3.319564
1,3705,3.297807
1,3720,3.276173
1,3735,3.25466
1,3750,3.233269
1,3765,3.211999
